"velocity:0","velocity:1","velocity:2","Points:0","Points:1","Points:2"
15.777,-0.51273,0,2.6533,-0.50976,0
15.995,-0.75495,0,2.6972,-0.46101,0
16.76,-1.0883,0,2.7402,-0.41162,0
17.635,-1.265,0,2.7819,-0.36342,0
17.555,-0.95066,0,2.8217,-0.3169,0
16.81,0.74718,0,2.8942,-0.26747,0
16.854,-0.33211,0,2.8559,-0.27781,0
16.479,1.4393,0,2.9182,-0.25012,0
15.966,2.6827,0,2.9673,-0.23041,0
15.826,0.010345,0,2.15,-1,0
15.751,0.023961,0,2.356,-0.75288,0
15.778,0.037799,0,2.2981,-0.79881,0
15.799,0.036743,0,2.2487,-0.84897,0
15.814,0.030351,0,2.1995,-0.89991,0
15.826,0.021336,0,2.15,-0.95,0
15.719,-0.0065315,0,2.4134,-0.70589,0
15.685,-0.058401,0,2.4655,-0.65731,0
15.656,-0.14084,0,2.5147,-0.60831,0
15.636,-0.26331,0,2.5613,-0.55931,0
15.635,-0.44564,0,2.6061,-0.51048,0
15.712,-0.72009,0,2.65,-0.46123,0
16.231,-1.1842,0,2.6925,-0.41265,0
17.047,-1.7448,0,2.7333,-0.36374,0
17.024,-1.9337,0,2.7721,-0.31524,0
16.053,-1.8324,0,2.8034,-0.27002,0
15.421,-0.69155,0,2.8575,-0.23216,0
15.574,-1.3623,0,2.8319,-0.2452,0
15.326,0.053488,0,2.8812,-0.22162,0
15.903,1.8643,0,2.933,-0.22633,0
15.454,2.8462,0,2.9717,-0.20759,0
15.836,0.010909,0,2.1,-1,0
15.765,0.048647,0,2.3026,-0.75204,0
15.725,0.028746,0,2.3641,-0.70592,0
15.793,0.052393,0,2.247,-0.79729,0
15.813,0.04388,0,2.1979,-0.84976,0
15.827,0.033496,0,2.149,-0.90068,0
15.838,0.022261,0,2.0998,-0.95053,0
15.68,-0.0097507,0,2.4181,-0.65755,0
15.631,-0.076385,0,2.4679,-0.60843,0
15.58,-0.18149,0,2.5146,-0.55913,0
15.533,-0.34294,0,2.5592,-0.51053,0
15.499,-0.59472,0,2.6028,-0.46185,0
15.723,-1.0659,0,2.6452,-0.41351,0
16.371,-1.8393,0,2.6855,-0.36501,0
16.423,-2.4576,0,2.722,-0.31754,0
15.48,-2.7199,0,2.757,-0.27125,0
15.008,-2.4176,0,2.7932,-0.24488,0
14.357,-1.7006,0,2.8363,-0.20998,0
14.176,-2.4221,0,2.8106,-0.21495,0
15.175,0.87637,0,2.9063,-0.20928,0
14.419,-0.90792,0,2.8613,-0.20205,0
15.277,2.1451,0,2.9448,-0.20247,0
14.981,2.9591,0,2.9765,-0.18638,0
15.847,0.010953,0,2.05,-1,0
15.788,0.073192,0,2.2415,-0.74532,0
15.741,0.05923,0,2.3156,-0.70563,0
15.688,0.036012,0,2.3713,-0.65745,0
15.812,0.061066,0,2.1941,-0.80039,0
15.828,0.047674,0,2.1467,-0.8516,0
15.84,0.034727,0,2.0989,-0.90121,0
15.849,0.022209,0,2.0498,-0.95055,0
15.625,-0.010856,0,2.4213,-0.60849,0
15.552,-0.09255,0,2.4681,-0.55926,0
15.47,-0.22457,0,2.5128,-0.51002,0
15.373,-0.42607,0,2.5558,-0.46206,0
15.356,-0.80943,0,2.5987,-0.41412,0
15.72,-1.6189,0,2.6401,-0.36457,0
15.82,-2.4679,0,2.6738,-0.31813,0
14.843,-3.0474,0,2.7018,-0.27086,0
14.222,-3.251,0,2.7514,-0.23927,0
13.829,-3.0839,0,2.7819,-0.21639,0
13.415,-2.5413,0,2.8193,-0.1882,0
13.164,-3.1451,0,2.7963,-0.18943,0
14.79,1.2812,0,2.9213,-0.19226,0
14.377,-0.19755,0,2.8828,-0.19241,0
13.527,-1.8781,0,2.8417,-0.18204,0
14.844,2.3397,0,2.9542,-0.18455,0
14.607,3.0013,0,2.9802,-0.16797,0
15.858,0.010547,0,2,-1,0
